categoria,detalle
conexion_sin_equivalente_nacional,SE_DEMTRADSLTCK_CSG: iar:SE_DSL002->DSL
conexion_sin_equivalente_nacional,SE_DEMTRAGSLBOT: iar:SE_GSL002->GSL
conexion_sin_equivalente_nacional,SE_DEMTRAGSLFWD: iar:SE_GSL002->GSL
conexion_sin_equivalente_nacional,SE_DEMTRAGSLLDV: iar:SE_GSL002->GSL
conexion_sin_equivalente_nacional,SE_DEMTRAGSLMIC: iar:SE_GSL002->GSL
conexion_sin_equivalente_nacional,SE_DEMTRAGSLMOT: iar:SE_GSL002->GSL
conexion_sin_equivalente_nacional,SE_DEMTRAGSLTAX: iar:SE_GSL002->GSL
conexion_sin_equivalente_nacional,SE_DEMTRAGSLTCK_C2P: iar:SE_GSL002->GSL
conexion_sin_equivalente_nacional,SE_DEMTRAHEVFWD: iar:SE_GSL002->GSL
conexion_sin_equivalente_nacional,SE_DEMTRAHEVLDV: iar:SE_GSL002->GSL
conexion_sin_equivalente_nacional,SE_DEMTRAPHEVFWD: iar:SE_GSL002->GSL
conexion_sin_equivalente_nacional,SE_DEMTRAPHEVLDV: iar:SE_GSL002->GSL
conexion_sin_equivalente_nacional,SE_DEMTRAPHEVTAX: iar:SE_GSL002->GSL
conexion_sin_equivalente_nacional,SE_PWRAFR: oar:SE_ELC003->ELC002
conexion_sin_equivalente_nacional,SE_PWRBGS: oar:SE_ELC003->ELC002
conexion_sin_equivalente_nacional,SE_PWRHYDROR_NDC: oar:SE_ELC003->ELC002
conexion_sin_equivalente_nacional,SE_PWRSOLUGE: oar:SE_ELC003->ELC002
conexion_sin_equivalente_nacional,SE_PWRSTD: oar:SE_ELC003->ELC002
conexion_sin_equivalente_nacional,SE_UPSBJS: iar:SAF001->(sin fuel nacional)
conexion_sin_equivalente_nacional,SO_DEMCONSDSL: iar:SO_DSL002->DSL
conexion_sin_equivalente_nacional,SO_DEMCONSGSL: iar:SO_GSL002->GSL
conexion_sin_equivalente_nacional,SO_DEMINDDSLBOI_HIG: iar:SO_DSL002->DSL
conexion_sin_equivalente_nacional,SO_DEMINDDSLBOI_LOW: iar:SO_DSL002->DSL
conexion_sin_equivalente_nacional,SO_DEMINDDSLBOI_MID: iar:SO_DSL002->DSL
conexion_sin_equivalente_nacional,SO_DEMINDDSLFUR_HIG: iar:SO_DSL002->DSL
conexion_sin_equivalente_nacional,SO_DEMINDDSLFUR_LOW: iar:SO_DSL002->DSL
conexion_sin_equivalente_nacional,SO_DEMINDDSLFUR_MID: iar:SO_DSL002->DSL
conexion_sin_equivalente_nacional,SO_DEMMINIDSL: iar:SO_DSL002->DSL
conexion_sin_equivalente_nacional,SO_DEMMINIGSL: iar:SO_GSL002->GSL; oar:SO_MINIGSL->GSL022
conexion_sin_equivalente_nacional,SO_DEMNGSAUT: iar:SO_NGS002->NGS002
conexion_sin_equivalente_nacional,SO_DEMTRAELCMET: iar:SO_ELC002->SOL_RTP
conexion_sin_equivalente_nacional,SO_EXPECU: iar:SO_ELC002->SOL_RTP
conexion_sin_equivalente_nacional,SO_IMPDSL: oar:DSL001->(sin fuel nacional)
conexion_sin_equivalente_nacional,SO_IMPGSL: oar:GSL001->(sin fuel nacional)
conexion_sin_equivalente_nacional,SO_IMPJET: oar:JET001->(sin fuel nacional)
conexion_sin_equivalente_nacional,SO_IMPLPG: oar:LPG001->(sin fuel nacional)
conexion_sin_equivalente_nacional,SO_PWRNGSCCS: iar:SO_NGS002->NGS002
conexion_sin_equivalente_nacional,SO_PWRNGS_CC: iar:SO_NGS002->NGS002
conexion_sin_equivalente_nacional,SO_PWRNGS_CS: iar:SO_NGS002->NGS002
conexion_sin_equivalente_nacional,SO_PWRSOLRTP: oar:SO_ELC002->SOL_RTP
conexion_sin_equivalente_nacional,SO_UPSALK: iar:SO_ELC002->SOL_RTP
conexion_sin_equivalente_nacional,SO_UPSBET: oar:BET001->(sin fuel nacional)
conexion_sin_equivalente_nacional,SO_UPSBJS: iar:SAF001->(sin fuel nacional)
conexion_sin_equivalente_nacional,SO_UPSPEM: iar:SO_ELC002->SOL_RTP
conexion_sin_equivalente_nacional,SO_UPSSMR: iar:SO_NGS002->NGS002
conexion_sin_equivalente_nacional,SO_UPSSMRCCS: iar:SO_NGS002->NGS002
fuel_candidatos_ya_asignados,CSP: candidatos ELC001 (lo tomó ELC). Revisar si es commodity global o split N:1
