codigo_nacional,codigo_regional,region,prefijo,tipo,clasificacion,renombrado,base_regional,fuente_correspondencia,score_jaccard,nota,iar_reg,iar_nac,oar_reg,oar_nac
DEMINDCOABOI_LOW,NE_DEMINDCOABOI_LOW,NE,NE,technology,mapeo_directo,False,DEMINDCOABOI_LOW,identidad,,,NE_COA002,COA002,NE_INDIHT,INDIHT
DEMINDCOABOI_LOW,OR_DEMINDCOABOI_LOW,OR,OR,technology,mapeo_directo,False,DEMINDCOABOI_LOW,identidad,,,OR_COA002,COA002,OR_INDIHT,INDIHT
DEMINDCOABOI_LOW,SO_DEMINDCOABOI_LOW,SO,SO,technology,mapeo_directo,False,DEMINDCOABOI_LOW,identidad,,,SO_COA002,COA002,SO_INDIHT,INDIHT
DEMINDCOABOI_MID,AN_DEMINDCOABOI_MID,AN,AN,technology,mapeo_directo,False,DEMINDCOABOI_MID,identidad,,,AN_COA002,COA002,AN_INDIHT,INDIHT
DEMINDCOABOI_MID,CA_DEMINDCOABOI_MID,CA,CA,technology,mapeo_directo,False,DEMINDCOABOI_MID,identidad,,,CA_COA002,COA002,CA_INDIHT,INDIHT
DEMINDCOABOI_MID,NE_DEMINDCOABOI_MID,NE,NE,technology,mapeo_directo,False,DEMINDCOABOI_MID,identidad,,,NE_COA002,COA002,NE_INDIHT,INDIHT
DEMINDCOABOI_MID,OR_DEMINDCOABOI_MID,OR,OR,technology,mapeo_directo,False,DEMINDCOABOI_MID,identidad,,,OR_COA002,COA002,OR_INDIHT,INDIHT
DEMINDCOABOI_MID,SO_DEMINDCOABOI_MID,SO,SO,technology,mapeo_directo,False,DEMINDCOABOI_MID,identidad,,,SO_COA002,COA002,SO_INDIHT,INDIHT
DEMINDCOAFUR_HIG,AN_DEMINDCOAFUR_HIG,AN,AN,technology,mapeo_directo,False,DEMINDCOAFUR_HIG,identidad,,,AN_COA002,COA002,AN_INDDHT,INDDHT
DEMINDCOAFUR_HIG,CA_DEMINDCOAFUR_HIG,CA,CA,technology,mapeo_directo,False,DEMINDCOAFUR_HIG,identidad,,,CA_COA002,COA002,CA_INDDHT,INDDHT
DEMINDCOAFUR_HIG,NE_DEMINDCOAFUR_HIG,NE,NE,technology,mapeo_directo,False,DEMINDCOAFUR_HIG,identidad,,,NE_COA002,COA002,NE_INDDHT,INDDHT
DEMINDCOAFUR_HIG,OR_DEMINDCOAFUR_HIG,OR,OR,technology,mapeo_directo,False,DEMINDCOAFUR_HIG,identidad,,,OR_COA002,COA002,OR_INDDHT,INDDHT
DEMINDCOAFUR_HIG,SO_DEMINDCOAFUR_HIG,SO,SO,technology,mapeo_directo,False,DEMINDCOAFUR_HIG,identidad,,,SO_COA002,COA002,SO_INDDHT,INDDHT
DEMINDCOAFUR_LOW,AN_DEMINDCOAFUR_LOW,AN,AN,technology,mapeo_directo,False,DEMINDCOAFUR_LOW,identidad,,,AN_COA002,COA002,AN_INDDHT,INDDHT
DEMINDCOAFUR_LOW,CA_DEMINDCOAFUR_LOW,CA,CA,technology,mapeo_directo,False,DEMINDCOAFUR_LOW,identidad,,,CA_COA002,COA002,CA_INDDHT,INDDHT
DEMINDCOAFUR_LOW,NE_DEMINDCOAFUR_LOW,NE,NE,technology,mapeo_directo,False,DEMINDCOAFUR_LOW,identidad,,,NE_COA002,COA002,NE_INDDHT,INDDHT
DEMINDCOAFUR_LOW,OR_DEMINDCOAFUR_LOW,OR,OR,technology,mapeo_directo,False,DEMINDCOAFUR_LOW,identidad,,,OR_COA002,COA002,OR_INDDHT,INDDHT
DEMINDCOAFUR_LOW,SO_DEMINDCOAFUR_LOW,SO,SO,technology,mapeo_directo,False,DEMINDCOAFUR_LOW,identidad,,,SO_COA002,COA002,SO_INDDHT,INDDHT
DEMINDCOAFUR_MID,AN_DEMINDCOAFUR_MID,AN,AN,technology,mapeo_directo,False,DEMINDCOAFUR_MID,identidad,,,AN_COA002,COA002,AN_INDDHT,INDDHT
DEMINDCOAFUR_MID,CA_DEMINDCOAFUR_MID,CA,CA,technology,mapeo_directo,False,DEMINDCOAFUR_MID,identidad,,,CA_COA002,COA002,CA_INDDHT,INDDHT
DEMINDCOAFUR_MID,NE_DEMINDCOAFUR_MID,NE,NE,technology,mapeo_directo,False,DEMINDCOAFUR_MID,identidad,,,NE_COA002,COA002,NE_INDDHT,INDDHT
DEMINDCOAFUR_MID,OR_DEMINDCOAFUR_MID,OR,OR,technology,mapeo_directo,False,DEMINDCOAFUR_MID,identidad,,,OR_COA002,COA002,OR_INDDHT,INDDHT
DEMINDCOAFUR_MID,SO_DEMINDCOAFUR_MID,SO,SO,technology,mapeo_directo,False,DEMINDCOAFUR_MID,identidad,,,SO_COA002,COA002,SO_INDDHT,INDDHT
DEMINDCOAOTH_LOW,AN_DEMINDCOAOTH_LOW,AN,AN,technology,mapeo_directo,False,DEMINDCOAOTH_LOW,identidad,,,AN_COA002,COA002,AN_INDOTH_COA,INDOTH_COA
DEMINDCOAOTH_LOW,CA_DEMINDCOAOTH_LOW,CA,CA,technology,mapeo_directo,False,DEMINDCOAOTH_LOW,identidad,,,CA_COA002,COA002,CA_INDOTH_COA,INDOTH_COA
DEMINDCOAOTH_LOW,NE_DEMINDCOAOTH_LOW,NE,NE,technology,mapeo_directo,False,DEMINDCOAOTH_LOW,identidad,,,NE_COA002,COA002,NE_INDOTH_COA,INDOTH_COA
DEMINDCOAOTH_LOW,OR_DEMINDCOAOTH_LOW,OR,OR,technology,mapeo_directo,False,DEMINDCOAOTH_LOW,identidad,,,OR_COA002,COA002,OR_INDOTH_COA,INDOTH_COA
