REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
RE1,AN_DEMRESWOOCKN_HIG_URB,2,2022,0.0
RE1,AN_DEMRESWOOCKN_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESWOOCKN_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESWOOCKN_LOW_URB,1,2022,0.0
RE1,AN_DEMRESWOOCKN_LOW_URB,2,2022,0.0
RE1,AN_DEMRESWOOCKN_MID_RUR,1,2022,0.0
RE1,AN_DEMRESWOOCKN_MID_RUR,2,2022,0.0
RE1,AN_DEMRESWOOCKN_MID_URB,1,2022,0.0
RE1,AN_DEMRESWOOCKN_MID_URB,2,2022,0.0
RE1,AN_DEMTERBGSCKN_HIG,1,2022,0.0
RE1,AN_DEMTERBGSCKN_HIG,2,2022,0.0
RE1,AN_DEMTERBGSCKN_LOW,1,2022,0.0
RE1,AN_DEMTERBGSCKN_LOW,2,2022,0.0
RE1,AN_DEMTERBGSCKN_MID,1,2022,0.0
RE1,AN_DEMTERBGSCKN_MID,2,2022,0.0
RE1,AN_DEMTERELCACL_HIG,1,2022,0.0
RE1,AN_DEMTERELCACL_HIG,2,2022,0.0
RE1,AN_DEMTERELCACL_LOW,1,2022,0.0
RE1,AN_DEMTERELCACL_LOW,2,2022,0.0
RE1,AN_DEMTERELCACL_MID,1,2022,0.0
RE1,AN_DEMTERELCACL_MID,2,2022,0.0
RE1,AN_DEMTERELCAIR_CEN_HIG,1,2022,0.0
RE1,AN_DEMTERELCAIR_CEN_HIG,2,2022,0.0
RE1,AN_DEMTERELCAIR_CEN_LOW,1,2022,0.0
RE1,AN_DEMTERELCAIR_CEN_LOW,2,2022,0.0
RE1,AN_DEMTERELCAIR_CEN_MID,1,2022,0.0
RE1,AN_DEMTERELCAIR_CEN_MID,2,2022,0.0
RE1,AN_DEMTERELCAIR_SPL_HIG,1,2022,0.0
RE1,AN_DEMTERELCAIR_SPL_HIG,2,2022,0.0
RE1,AN_DEMTERELCAIR_SPL_LOW,1,2022,0.0
RE1,AN_DEMTERELCAIR_SPL_LOW,2,2022,0.0
RE1,AN_DEMTERELCAIR_SPL_MID,1,2022,0.0
RE1,AN_DEMTERELCAIR_SPL_MID,2,2022,0.0
RE1,AN_DEMTERELCCKN_HIG,1,2022,0.0
RE1,AN_DEMTERELCCKN_HIG,2,2022,0.0
RE1,AN_DEMTERELCCKN_LOW,1,2022,0.0
RE1,AN_DEMTERELCCKN_LOW,2,2022,0.0
RE1,AN_DEMTERELCCKN_MID,1,2022,0.0
RE1,AN_DEMTERELCCKN_MID,2,2022,0.0
RE1,AN_DEMTERELCDATA,1,2022,0.0
RE1,AN_DEMTERELCDATA,2,2022,0.0
RE1,AN_DEMTERELCFAN_HIG,1,2022,0.0
RE1,AN_DEMTERELCFAN_HIG,2,2022,0.0
RE1,AN_DEMTERELCFAN_LOW,1,2022,0.0
RE1,AN_DEMTERELCFAN_LOW,2,2022,0.0
RE1,AN_DEMTERELCFAN_MID,1,2022,0.0
RE1,AN_DEMTERELCFAN_MID,2,2022,0.0
RE1,AN_DEMTERELCILU_CIA,1,2022,0.0
RE1,AN_DEMTERELCILU_CIA,2,2022,0.0
RE1,AN_DEMTERELCILU_HAL,1,2022,0.0
RE1,AN_DEMTERELCILU_HAL,2,2022,0.0
RE1,AN_DEMTERELCILU_HIG,1,2022,0.0
RE1,AN_DEMTERELCILU_HIG,2,2022,0.0
