REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
RE1,AN_DEMRESELCAIR_POR_MID_RUR,AN_RESCLIM_RUR,1,2022,1.0
RE1,AN_DEMRESELCAIR_POR_MID_URB,AN_RESCLIM_URB,1,2022,1.0
RE1,AN_DEMRESELCAIR_SPL_HIG_RUR,AN_RESCLIM_RUR,1,2022,1.0
RE1,AN_DEMRESELCAIR_SPL_HIG_URB,AN_RESCLIM_URB,1,2022,1.0
RE1,AN_DEMRESELCAIR_SPL_LOW_RUR,AN_RESCLIM_RUR,1,2022,1.0
RE1,AN_DEMRESELCAIR_SPL_LOW_URB,AN_RESCLIM_URB,1,2022,1.0
RE1,AN_DEMRESELCAIR_SPL_MID_RUR,AN_RESCLIM_RUR,1,2022,1.0
RE1,AN_DEMRESELCAIR_SPL_MID_URB,AN_RESCLIM_URB,1,2022,1.0
RE1,AN_DEMRESELCCKN_HIG_RUR,AN_RESDHT_RUR,1,2022,1.0
RE1,AN_DEMRESELCCKN_HIG_URB,AN_RESDHT_URB,1,2022,1.0
RE1,AN_DEMRESELCCKN_LOW_RUR,AN_RESDHT_RUR,1,2022,1.0
RE1,AN_DEMRESELCCKN_LOW_URB,AN_RESDHT_URB,1,2022,1.0
RE1,AN_DEMRESELCCKN_MID_RUR,AN_RESDHT_RUR,1,2022,1.0
RE1,AN_DEMRESELCCKN_MID_URB,AN_RESDHT_URB,1,2022,1.0
RE1,AN_DEMRESELCFAN_HIG_RUR,AN_RESCLIM_RUR,1,2022,1.0
RE1,AN_DEMRESELCFAN_HIG_URB,AN_RESCLIM_URB,1,2022,1.0
RE1,AN_DEMRESELCFAN_LOW_RUR,AN_RESCLIM_RUR,1,2022,1.0
RE1,AN_DEMRESELCFAN_LOW_URB,AN_RESCLIM_URB,1,2022,1.0
RE1,AN_DEMRESELCFAN_MID_RUR,AN_RESCLIM_RUR,1,2022,1.0
RE1,AN_DEMRESELCFAN_MID_URB,AN_RESCLIM_URB,1,2022,1.0
RE1,AN_DEMRESELCILU_HIG_RUR,AN_RESILU_RUR,1,2022,1.0
RE1,AN_DEMRESELCILU_HIG_URB,AN_RESILU_URB,1,2022,1.0
RE1,AN_DEMRESELCILU_INC_RUR,AN_RESILU_RUR,1,2022,1.0
RE1,AN_DEMRESELCILU_INC_URB,AN_RESILU_URB,1,2022,1.0
RE1,AN_DEMRESELCILU_LFC_RUR,AN_RESILU_RUR,1,2022,1.0
RE1,AN_DEMRESELCILU_LFC_URB,AN_RESILU_URB,1,2022,1.0
RE1,AN_DEMRESELCILU_LOW_RUR,AN_RESILU_RUR,1,2022,1.0
RE1,AN_DEMRESELCILU_LOW_URB,AN_RESILU_URB,1,2022,1.0
RE1,AN_DEMRESELCILU_MID_RUR,AN_RESILU_RUR,1,2022,1.0
RE1,AN_DEMRESELCILU_MID_URB,AN_RESILU_URB,1,2022,1.0
RE1,AN_DEMRESELCOTH_HIG_RUR,AN_RESOTH_RUR,1,2022,1.0
RE1,AN_DEMRESELCOTH_HIG_URB,AN_RESOTH_URB,1,2022,1.0
RE1,AN_DEMRESELCOTH_LOW_RUR,AN_RESOTH_RUR,1,2022,1.0
RE1,AN_DEMRESELCOTH_LOW_URB,AN_RESOTH_URB,1,2022,1.0
RE1,AN_DEMRESELCOTH_MID_RUR,AN_RESOTH_RUR,1,2022,1.0
RE1,AN_DEMRESELCOTH_MID_URB,AN_RESOTH_URB,1,2022,1.0
RE1,AN_DEMRESELCREF_HIG_RUR,AN_RESREF_RUR,1,2022,1.0
RE1,AN_DEMRESELCREF_HIG_URB,AN_RESREF_URB,1,2022,1.0
RE1,AN_DEMRESELCREF_LOW_RUR,AN_RESREF_RUR,1,2022,1.0
RE1,AN_DEMRESELCREF_LOW_URB,AN_RESREF_URB,1,2022,1.0
RE1,AN_DEMRESELCREF_MID_RUR,AN_RESREF_RUR,1,2022,1.0
RE1,AN_DEMRESELCREF_MID_URB,AN_RESREF_URB,1,2022,1.0
RE1,AN_DEMRESELCTV_CRT_RUR,AN_RESTV_RUR,1,2022,1.0
RE1,AN_DEMRESELCTV_CRT_URB,AN_RESTV_URB,1,2022,1.0
RE1,AN_DEMRESELCTV_HIG_RUR,AN_RESTV_RUR,1,2022,1.0
RE1,AN_DEMRESELCTV_HIG_URB,AN_RESTV_URB,1,2022,1.0
RE1,AN_DEMRESELCTV_LOW_RUR,AN_RESTV_RUR,1,2022,1.0
RE1,AN_DEMRESELCTV_LOW_URB,AN_RESTV_URB,1,2022,1.0
RE1,AN_DEMRESELCTV_MID_RUR,AN_RESTV_RUR,1,2022,1.0
RE1,AN_DEMRESELCTV_MID_URB,AN_RESTV_URB,1,2022,1.0
RE1,AN_DEMRESELCWHT_DUC_HIG_RUR,AN_RESWHT_RUR,1,2022,1.0
