REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
RE1,AN_DEMRESNGSWHT_NAT_MID_RUR,EMICO2,1,2022,0.05553911
RE1,AN_DEMRESNGSWHT_NAT_MID_RUR,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMRESNGSWHT_NAT_MID_URB,EMICH4,1,2022,0.00014
RE1,AN_DEMRESNGSWHT_NAT_MID_URB,EMICO2,1,2022,0.05553911
RE1,AN_DEMRESNGSWHT_NAT_MID_URB,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMRESWOOCKN_HIG_RUR,EMICH4,1,2022,0.0084
RE1,AN_DEMRESWOOCKN_HIG_RUR,EMIN2O,1,2022,0.00106
RE1,AN_DEMRESWOOCKN_HIG_URB,EMICH4,1,2022,0.0084
RE1,AN_DEMRESWOOCKN_HIG_URB,EMIN2O,1,2022,0.00106
RE1,AN_DEMRESWOOCKN_LOW_RUR,EMICH4,1,2022,0.0084
RE1,AN_DEMRESWOOCKN_LOW_RUR,EMIN2O,1,2022,0.00106
RE1,AN_DEMRESWOOCKN_LOW_URB,EMICH4,1,2022,0.0084
RE1,AN_DEMRESWOOCKN_LOW_URB,EMIN2O,1,2022,0.00106
RE1,AN_DEMRESWOOCKN_MID_RUR,EMICH4,1,2022,0.0084
RE1,AN_DEMRESWOOCKN_MID_RUR,EMIN2O,1,2022,0.00106
RE1,AN_DEMRESWOOCKN_MID_URB,EMICH4,1,2022,0.0084
RE1,AN_DEMRESWOOCKN_MID_URB,EMIN2O,1,2022,0.00106
RE1,AN_DEMTERBGSCKN_HIG,EMICH4,1,2022,2.8e-05
RE1,AN_DEMTERBGSCKN_HIG,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMTERBGSCKN_LOW,EMICH4,1,2022,2.8e-05
RE1,AN_DEMTERBGSCKN_LOW,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMTERBGSCKN_MID,EMICH4,1,2022,2.8e-05
RE1,AN_DEMTERBGSCKN_MID,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMTERLPGCKN_HIG,EMICH4,1,2022,0.00014
RE1,AN_DEMTERLPGCKN_HIG,EMICO2,1,2022,0.0671851
RE1,AN_DEMTERLPGCKN_HIG,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMTERLPGCKN_LOW,EMICH4,1,2022,0.00014
RE1,AN_DEMTERLPGCKN_LOW,EMICO2,1,2022,0.0671851
RE1,AN_DEMTERLPGCKN_LOW,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMTERLPGCKN_MID,EMICH4,1,2022,0.00014
RE1,AN_DEMTERLPGCKN_MID,EMICO2,1,2022,0.0671851
RE1,AN_DEMTERLPGCKN_MID,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMTERNGSCKN_HIG,EMICH4,1,2022,2.8e-05
RE1,AN_DEMTERNGSCKN_HIG,EMICO2,1,2022,0.05553911
RE1,AN_DEMTERNGSCKN_HIG,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMTERNGSCKN_LOW,EMICH4,1,2022,2.8e-05
RE1,AN_DEMTERNGSCKN_LOW,EMICO2,1,2022,0.05553911
RE1,AN_DEMTERNGSCKN_LOW,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMTERNGSCKN_MID,EMICH4,1,2022,2.8e-05
RE1,AN_DEMTERNGSCKN_MID,EMICO2,1,2022,0.05553911
RE1,AN_DEMTERNGSCKN_MID,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMTRADSLBOT,EMICH4,1,2022,0.00010668
RE1,AN_DEMTRADSLBOT,EMICO2,1,2022,0.066774135
RE1,AN_DEMTRADSLBOT,EMIN2O,1,2022,0.00252015
RE1,AN_DEMTRADSLBUS_ART,EMICH4,1,2022,0.00010668
RE1,AN_DEMTRADSLBUS_ART,EMICO2,1,2022,0.066774135
RE1,AN_DEMTRADSLBUS_ART,EMIN2O,1,2022,0.00252015
RE1,AN_DEMTRADSLBUS_BIA,EMICH4,1,2022,0.00010668
RE1,AN_DEMTRADSLBUS_BIA,EMICO2,1,2022,0.066774135
RE1,AN_DEMTRADSLBUS_BIA,EMIN2O,1,2022,0.00252015
RE1,AN_DEMTRADSLBUS_IMU,EMICH4,1,2022,0.00010668
RE1,AN_DEMTRADSLBUS_IMU,EMICO2,1,2022,0.066774135
RE1,AN_DEMTRADSLBUS_IMU,EMIN2O,1,2022,0.00252015
RE1,AN_DEMTRADSLBUS_URB,EMICH4,1,2022,0.00010668
RE1,AN_DEMTRADSLBUS_URB,EMICO2,1,2022,0.066774135
RE1,AN_DEMTRADSLBUS_URB,EMIN2O,1,2022,0.00252015
RE1,AN_DEMTRADSLFWD,EMICH4,1,2022,0.00010668
RE1,AN_DEMTRADSLFWD,EMICO2,1,2022,0.066774135
RE1,AN_DEMTRADSLFWD,EMIN2O,1,2022,0.00252015
RE1,AN_DEMTRADSLLDV,EMICH4,1,2022,0.00010668
RE1,AN_DEMTRADSLLDV,EMICO2,1,2022,0.066774135
RE1,AN_DEMTRADSLLDV,EMIN2O,1,2022,0.00252015
RE1,AN_DEMTRADSLMIC,EMICH4,1,2022,0.00010668
RE1,AN_DEMTRADSLMIC,EMICO2,1,2022,0.066774135
RE1,AN_DEMTRADSLMIC,EMIN2O,1,2022,0.00252015
RE1,AN_DEMTRADSLSHP,EMICH4,1,2022,0.00010668
RE1,AN_DEMTRADSLSHP,EMICO2,1,2022,0.066774135
RE1,AN_DEMTRADSLSHP,EMIN2O,1,2022,0.00252015
RE1,AN_DEMTRADSLSTT,EMICH4,1,2022,0.00010668
RE1,AN_DEMTRADSLSTT,EMICO2,1,2022,0.066774135
RE1,AN_DEMTRADSLSTT,EMIN2O,1,2022,0.00252015
RE1,AN_DEMTRADSLTAX,EMICH4,1,2022,0.00010668
RE1,AN_DEMTRADSLTAX,EMICO2,1,2022,0.066774135
RE1,AN_DEMTRADSLTAX,EMIN2O,1,2022,0.00252015
RE1,AN_DEMTRADSLTCK_C2P,EMICH4,1,2022,0.00010668
