REGION,FUEL,TIMESLICE,YEAR,VALUE
RE1,AGFELC,S117,2042,0.0
RE1,AGFELC,S117,2043,0.0
RE1,AGFELC,S117,2044,0.0
RE1,AGFELC,S117,2045,0.0
RE1,AGFELC,S117,2046,0.0
RE1,AGFELC,S117,2047,0.0
RE1,AGFELC,S117,2048,0.0
RE1,AGFELC,S117,2049,0.0
RE1,AGFELC,S117,2050,0.0
RE1,AGFELC,S117,2051,0.0
RE1,AGFELC,S117,2052,0.0
RE1,AGFELC,S117,2053,0.0
RE1,AGFELC,S117,2054,0.0
RE1,AGFELC,S118,2022,0.0
RE1,AGFELC,S118,2023,0.0
RE1,AGFELC,S118,2024,0.0
RE1,AGFELC,S118,2025,0.0
RE1,AGFELC,S118,2026,0.0
RE1,AGFELC,S118,2027,0.0
RE1,AGFELC,S118,2028,0.0
RE1,AGFELC,S118,2029,0.0
RE1,AGFELC,S118,2030,0.0
RE1,AGFELC,S118,2031,0.0
RE1,AGFELC,S118,2032,0.0
RE1,AGFELC,S118,2033,0.0
RE1,AGFELC,S118,2034,0.0
RE1,AGFELC,S118,2035,0.0
RE1,AGFELC,S118,2036,0.0
RE1,AGFELC,S118,2037,0.0
RE1,AGFELC,S118,2038,0.0
RE1,AGFELC,S118,2039,0.0
RE1,AGFELC,S118,2040,0.0
RE1,AGFELC,S118,2041,0.0
RE1,AGFELC,S118,2042,0.0
RE1,AGFELC,S118,2043,0.0
RE1,AGFELC,S118,2044,0.0
RE1,AGFELC,S118,2045,0.0
RE1,AGFELC,S118,2046,0.0
RE1,AGFELC,S118,2047,0.0
RE1,AGFELC,S118,2048,0.0
RE1,AGFELC,S118,2049,0.0
RE1,AGFELC,S118,2050,0.0
RE1,AGFELC,S118,2051,0.0
RE1,AGFELC,S118,2052,0.0
RE1,AGFELC,S118,2053,0.0
RE1,AGFELC,S118,2054,0.0
RE1,AGFELC,S119,2022,0.0
RE1,AGFELC,S119,2023,0.0
RE1,AGFELC,S119,2024,0.0
RE1,AGFELC,S119,2025,0.0
RE1,AGFELC,S119,2026,0.0
RE1,AGFELC,S119,2027,0.0
RE1,AGFELC,S119,2028,0.0
RE1,AGFELC,S119,2029,0.0
RE1,AGFELC,S119,2030,0.0
RE1,AGFELC,S119,2031,0.0
RE1,AGFELC,S119,2032,0.0
RE1,AGFELC,S119,2033,0.0
RE1,AGFELC,S119,2034,0.0
RE1,AGFELC,S119,2035,0.0
RE1,AGFELC,S119,2036,0.0
RE1,AGFELC,S119,2037,0.0
RE1,AGFELC,S119,2038,0.0
RE1,AGFELC,S119,2039,0.0
RE1,AGFELC,S119,2040,0.0
RE1,AGFELC,S119,2041,0.0
RE1,AGFELC,S119,2042,0.0
RE1,AGFELC,S119,2043,0.0
RE1,AGFELC,S119,2044,0.0
RE1,AGFELC,S119,2045,0.0
RE1,AGFELC,S119,2046,0.0
RE1,AGFELC,S119,2047,0.0
RE1,AGFELC,S119,2048,0.0
RE1,AGFELC,S119,2049,0.0
RE1,AGFELC,S119,2050,0.0
RE1,AGFELC,S119,2051,0.0
RE1,AGFELC,S119,2052,0.0
RE1,AGFELC,S119,2053,0.0
RE1,AGFELC,S119,2054,0.0
RE1,AGFELC,S120,2022,0.0
RE1,AGFELC,S120,2023,0.0
RE1,AGFELC,S120,2024,0.0
RE1,AGFELC,S120,2025,0.0
RE1,AGFELC,S120,2026,0.0
RE1,AGFELC,S120,2027,0.0
RE1,AGFELC,S120,2028,0.0
RE1,AGFELC,S120,2029,0.0
RE1,AGFELC,S120,2030,0.0
RE1,AGFELC,S120,2031,0.0
RE1,AGFELC,S120,2032,0.0
RE1,AGFELC,S120,2033,0.0
RE1,AGFELC,S120,2034,0.0
RE1,AGFELC,S120,2035,0.0
RE1,AGFELC,S120,2036,0.0
RE1,AGFELC,S120,2037,0.0
RE1,AGFELC,S120,2038,0.0
RE1,AGFELC,S120,2039,0.0
RE1,AGFELC,S120,2040,0.0
RE1,AGFELC,S120,2041,0.0
RE1,AGFELC,S120,2042,0.0
RE1,AGFELC,S120,2043,0.0
RE1,AGFELC,S120,2044,0.0
RE1,AGFELC,S120,2045,0.0
RE1,AGFELC,S120,2046,0.0
RE1,AGFELC,S120,2047,0.0
RE1,AGFELC,S120,2048,0.0
RE1,AGFELC,S120,2049,0.0
RE1,AGFELC,S120,2050,0.0
RE1,AGFELC,S120,2051,0.0
RE1,AGFELC,S120,2052,0.0
RE1,AGFELC,S120,2053,0.0
RE1,AGFELC,S120,2054,0.0
RE1,AGFELC,S121,2022,0.0
RE1,AGFELC,S121,2023,0.0
RE1,AGFELC,S121,2024,0.0
RE1,AGFELC,S121,2025,0.0
RE1,AGFELC,S121,2026,0.0
RE1,AGFELC,S121,2027,0.0
RE1,AGFELC,S121,2028,0.0
RE1,AGFELC,S121,2029,0.0
RE1,AGFELC,S121,2030,0.0
RE1,AGFELC,S121,2031,0.0
RE1,AGFELC,S121,2032,0.0
RE1,AGFELC,S121,2033,0.0
RE1,AGFELC,S121,2034,0.0
RE1,AGFELC,S121,2035,0.0
RE1,AGFELC,S121,2036,0.0
RE1,AGFELC,S121,2037,0.0
RE1,AGFELC,S121,2038,0.0
RE1,AGFELC,S121,2039,0.0
RE1,AGFELC,S121,2040,0.0
RE1,AGFELC,S121,2041,0.0
RE1,AGFELC,S121,2042,0.0
RE1,AGFELC,S121,2043,0.0
RE1,AGFELC,S121,2044,0.0
RE1,AGFELC,S121,2045,0.0
RE1,AGFELC,S121,2046,0.0
RE1,AGFELC,S121,2047,0.0
RE1,AGFELC,S121,2048,0.0
RE1,AGFELC,S121,2049,0.0
RE1,AGFELC,S121,2050,0.0
RE1,AGFELC,S121,2051,0.0
RE1,AGFELC,S121,2052,0.0
RE1,AGFELC,S121,2053,0.0
RE1,AGFELC,S121,2054,0.0
RE1,AGFELC,S122,2022,0.0
