Parametro,Dimension,Codigo_Destino,Region,Anio,Participacion_Efectiva,Valor_Absoluto
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2025,0.002989,0.010472
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2026,0.002986,0.010207
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2027,0.002984,0.009901
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2028,0.002981,0.009556
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2029,0.00298,0.009183
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2030,0.002977,0.008781
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2031,0.002973,0.008353
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2032,0.002969,0.007909
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2033,0.002965,0.007455
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2034,0.00296,0.006995
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2035,0.002956,0.006535
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2036,0.002952,0.006077
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2037,0.00295,0.005632
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2038,0.002947,0.005194
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2039,0.002943,0.004768
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2040,0.00294,0.00436
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2041,0.002937,0.003969
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2042,0.002936,0.0036
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2043,0.002935,0.003251
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2044,0.002934,0.002925
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2045,0.002934,0.002621
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2046,0.002933,0.002337
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2047,0.002933,0.002077
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2048,0.002934,0.001838
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2049,0.002933,0.001619
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2050,0.002934,0.001421
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2051,0.002936,0.001243
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2052,0.002938,0.001082
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2053,0.002941,0.000939
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_LOW,IN,2054,0.002944,0.000812
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2022,0.000703,1.6e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2023,0.000731,2.4e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2024,0.002774,0.000231
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2025,0.002989,0.000452
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2026,0.002986,0.000654
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2027,0.002984,0.000858
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2028,0.002981,0.001062
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2029,0.00298,0.001265
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2030,0.002977,0.001465
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2031,0.002973,0.001675
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2032,0.002969,0.001884
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2033,0.002965,0.002092
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2034,0.00296,0.002299
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2035,0.002956,0.002506
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2036,0.002952,0.002713
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2037,0.00295,0.002923
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCCKN_MID,IN,2038,0.002947,0.003132
